billing_record_id,usage_date,project_id,service_name,sku_category,environment,owning_team,gcp_region,usage_quantity,usage_unit,daily_cost_usd,committed_use_covered_pct,idle_resource_score,rightsizing_savings_usd,label_compliance,budget_threshold_pct,cost_anomaly
bill-000001,2026-01-01,ml-prod,GKE,memory,prod,finops,europe-west1,5551.147,slot_hour,282.9,0.39,0.318,33.96,1,117.39,0
bill-000002,2026-01-02,ml-prod,Pub/Sub,query,prod,platform,global,766.074,request,30.75,0.81,0.474,5.78,1,84.94,0
bill-000003,2026-01-03,shared-services,Cloud SQL,memory,prod,platform,us-central1,5392.997,slot_hour,139.67,0.14,0.234,6.6,1,78.91,0
bill-000004,2026-01-04,shared-services,Cloud SQL,network,prod,finops,global,1213.189,slot_hour,288.11,0.35,0.368,51.12,1,162.77,0
bill-000005,2026-01-05,sandbox,Pub/Sub,memory,prod,backend,us-central1,2893.935,hour,67.93,0.59,0.213,7.64,1,180,0
bill-000006,2026-01-06,shared-services,Vertex AI,database,prod,platform,global,5198.945,hour,366.44,0.18,0.3,57.49,1,126.8,0
bill-000007,2026-01-07,analytics-dev,Compute Engine,storage,prod,platform,global,6011.063,node_hour,93.45,0.66,0.664,10.82,1,61.08,0
bill-000008,2026-01-08,analytics-dev,Pub/Sub,cpu,prod,mlops,europe-west1,1062.366,gibibyte,28.19,0.41,0,0.0,1,77.87,0
bill-000009,2026-01-09,shared-services,Compute Engine,query,sandbox,finops,europe-west1,1952.627,gibibyte,25.42,0.45,0.585,3.02,1,86.17,0
bill-000010,2026-01-10,data-platform,Compute Engine,memory,prod,finops,europe-west1,4225.3,request,356.27,0.94,0.583,68.76,1,180,1
bill-000011,2026-01-11,shared-services,GKE,query,dev,backend,us-east1,1773.23,gibibyte,56.04,0.67,0.427,9.64,1,81.81,0
bill-000012,2026-01-12,ml-prod,Compute Engine,network,staging,finops,global,418.741,request,73.0,0.54,0.755,9.97,1,108.15,0
bill-000013,2026-01-13,shared-services,Cloud Storage,query,sandbox,mlops,us-central1,283.16,gibibyte,18.15,0.67,0.515,2.59,1,125.17,0
bill-000014,2026-01-14,analytics-dev,Compute Engine,training,dev,mlops,asia-south1,6611.976,gibibyte,32.76,0.85,0.837,12.74,1,74.88,0
bill-000015,2026-01-15,analytics-dev,BigQuery,network,staging,mlops,europe-west1,5513.033,slot_hour,212.76,0.2,0.815,45.73,1,180,1
bill-000016,2026-01-16,data-platform,GKE,network,prod,data,europe-west1,340.847,gibibyte,97.38,0.58,0.284,6.93,1,40.41,0
bill-000017,2026-01-17,shared-services,Cloud Storage,training,dev,mlops,europe-west1,3554.735,hour,19.35,0.77,0.585,4.59,1,91.06,0
bill-000018,2026-01-18,payments-prod,Compute Engine,memory,staging,platform,asia-south1,397.793,hour,104.71,0.36,0.725,31.65,1,155.13,0
bill-000019,2026-01-19,sandbox,Compute Engine,storage,dev,backend,us-central1,7552.676,request,44.25,0.92,0.653,13.21,1,101.14,0
bill-000020,2026-01-20,shared-services,Pub/Sub,query,sandbox,platform,us-central1,7115.384,node_hour,6.77,0.06,0.631,0.67,1,89.08,0
bill-000021,2026-01-21,data-platform,Cloud SQL,cpu,prod,finops,asia-south1,910.287,node_hour,191.5,0.1,0.015,1.03,1,108.19,0
bill-000022,2026-01-22,sandbox,BigQuery,storage,dev,platform,global,4094.918,node_hour,45.87,0.26,0.656,14.29,0,77.09,0
bill-000023,2026-01-23,payments-prod,BigQuery,network,prod,mlops,asia-south1,6787.42,hour,270.35,0.17,0.256,31.37,1,129.35,0
bill-000024,2026-01-24,analytics-dev,GKE,training,prod,finops,us-central1,7700.257,request,256.28,0.19,0.423,18.08,1,106.34,0
bill-000025,2026-01-25,data-platform,Pub/Sub,query,staging,data,europe-west1,1268.975,hour,33.1,0.46,0.22,2.52,0,180,0
bill-000026,2026-01-26,data-platform,Compute Engine,training,prod,finops,us-east1,3886.593,request,114.64,0.6,0,0.0,1,74.93,0
bill-000027,2026-01-27,payments-prod,BigQuery,cpu,sandbox,platform,us-central1,7896.712,node_hour,31.77,0.84,0.492,2.6,1,79.42,0
bill-000028,2026-01-28,data-platform,Compute Engine,storage,prod,backend,asia-south1,285.446,request,268.08,0.66,0.234,13.43,1,175.22,0
bill-000029,2026-01-29,payments-prod,Compute Engine,network,staging,backend,europe-west1,3463.57,hour,102.28,0.28,0.636,30.99,1,151.53,0
bill-000030,2026-01-30,sandbox,Compute Engine,training,prod,data,us-east1,2544.439,request,187.0,0.62,0.391,22.06,1,122.22,0
bill-000031,2026-01-31,analytics-dev,Pub/Sub,storage,dev,platform,global,7680.913,hour,7.49,0.31,0.439,0.81,1,68.72,0
bill-000032,2026-02-01,sandbox,Pub/Sub,cpu,dev,data,global,634.825,hour,9.53,0.88,0.771,2.01,0,87.43,0
bill-000033,2026-02-02,shared-services,BigQuery,query,dev,data,asia-south1,7049.668,hour,67.98,0.87,0.593,16.1,1,114.25,0
bill-000034,2026-02-03,ml-prod,GKE,network,staging,platform,us-central1,3222.054,request,56.07,0.78,0.503,14.84,1,52.9,0
bill-000035,2026-02-04,data-platform,GKE,storage,staging,data,europe-west1,7240.843,hour,226.08,0.55,0.819,54.84,1,180,0
bill-000036,2026-02-05,analytics-dev,Vertex AI,cpu,prod,backend,us-east1,5984.088,slot_hour,408.49,0.44,0.382,60.21,1,141.35,0
bill-000037,2026-02-06,shared-services,Cloud SQL,network,prod,platform,global,5563.171,request,118.88,0.6,0.448,13.62,1,67.16,0
bill-000038,2026-02-07,data-platform,Cloud Storage,cpu,sandbox,mlops,europe-west1,7427.693,hour,9.41,0.42,0.259,1.28,1,64.9,0
bill-000039,2026-02-08,sandbox,BigQuery,cpu,sandbox,data,us-central1,7552.328,slot_hour,54.66,0.83,0.396,10.62,1,136.65,0
bill-000040,2026-02-09,ml-prod,Cloud SQL,training,staging,mlops,us-east1,3321.276,slot_hour,27.65,0.33,0.801,10.16,1,35.45,0
bill-000041,2026-02-10,analytics-dev,Vertex AI,training,staging,backend,asia-south1,4594.303,slot_hour,84.89,0.5,0.819,10.53,1,66.84,0
bill-000042,2026-02-11,analytics-dev,Vertex AI,network,prod,backend,asia-south1,3313.575,slot_hour,423.24,0.92,0.22,16.1,1,146.45,0
bill-000043,2026-02-12,analytics-dev,Cloud SQL,cpu,prod,finops,global,6855.407,node_hour,227.92,0.52,0.106,4.32,1,128.77,0
bill-000044,2026-02-13,ml-prod,Cloud Storage,training,prod,platform,us-east1,4863.109,slot_hour,186.98,0.87,0.427,28.21,1,180,1
bill-000045,2026-02-14,payments-prod,Pub/Sub,network,staging,finops,global,3021.919,request,10.83,0.07,0.723,3.37,1,66.04,0
bill-000046,2026-02-15,ml-prod,BigQuery,database,dev,backend,asia-south1,6760.21,gibibyte,48.27,0.85,0.584,13.53,1,81.13,0
bill-000047,2026-02-16,payments-prod,BigQuery,cpu,prod,backend,global,5968.028,node_hour,275.39,0.52,0.213,14.1,1,131.77,0
bill-000048,2026-02-17,analytics-dev,Cloud SQL,storage,sandbox,data,us-east1,3612.915,slot_hour,23.61,0.2,0.468,4.67,0,69.44,0
bill-000049,2026-02-18,payments-prod,Cloud Storage,training,dev,finops,global,53.417,gibibyte,33.17,0.07,0.318,4.61,1,156.09,0
bill-000050,2026-02-19,data-platform,BigQuery,storage,dev,platform,global,353.198,gibibyte,75.34,0.65,0.686,19.14,1,126.62,0
bill-000051,2026-02-20,shared-services,BigQuery,storage,prod,platform,europe-west1,1098.641,request,201.8,0.16,0.194,8.9,0,96.56,0
bill-000052,2026-02-21,payments-prod,Pub/Sub,cpu,prod,finops,europe-west1,1131.039,slot_hour,39.24,0.91,0.53,11.28,1,108.4,0
bill-000053,2026-02-22,sandbox,GKE,storage,prod,mlops,asia-south1,1423.015,slot_hour,162.54,0.76,0.052,3.07,1,67.44,0
bill-000054,2026-02-23,sandbox,BigQuery,network,dev,mlops,us-east1,6743.945,slot_hour,89.54,0.57,0.469,16.51,1,150.49,0
bill-000055,2026-02-24,ml-prod,Cloud Storage,memory,prod,backend,us-central1,646.137,node_hour,25.51,0.39,0.294,2.91,1,34.95,0
bill-000056,2026-02-25,ml-prod,Vertex AI,query,prod,finops,us-central1,1953.705,hour,323.14,0.2,0.145,13.08,1,111.81,0
bill-000057,2026-02-26,shared-services,BigQuery,training,dev,mlops,us-central1,866.624,node_hour,42.8,0.48,0.73,15.27,1,71.93,0
bill-000058,2026-02-27,shared-services,Cloud Storage,cpu,sandbox,data,global,4732.503,node_hour,5.99,0.75,0.747,1.16,1,41.31,0
bill-000059,2026-02-28,payments-prod,Cloud SQL,training,prod,platform,europe-west1,5763.169,node_hour,61.2,0.25,0.595,10.61,1,34.58,0
bill-000060,2026-03-01,payments-prod,Compute Engine,storage,dev,mlops,us-east1,3448.694,hour,48.11,0.1,0.502,4.18,1,109.97,0
bill-000061,2026-03-02,analytics-dev,Compute Engine,database,dev,backend,us-east1,7087.457,request,42.72,0.3,0.599,10.99,1,97.65,0
bill-000062,2026-03-03,ml-prod,Cloud Storage,cpu,prod,platform,asia-south1,3171.997,node_hour,111.15,0.47,0.339,13.99,1,152.26,0
bill-000063,2026-03-04,data-platform,BigQuery,cpu,sandbox,backend,asia-south1,1534.205,gibibyte,75.71,0.5,0.506,15.37,1,180,0
bill-000064,2026-03-05,ml-prod,GKE,storage,prod,mlops,global,5532.263,node_hour,429.84,0.34,0.284,21.08,1,178.36,0
bill-000065,2026-03-06,data-platform,Compute Engine,query,sandbox,backend,global,1007.208,node_hour,27.79,0.37,0.628,4.66,1,94.2,0
bill-000066,2026-03-07,payments-prod,BigQuery,storage,prod,platform,europe-west1,2422.098,request,156.17,0.52,0.041,2.7,1,74.72,0
bill-000067,2026-03-08,data-platform,Cloud SQL,memory,prod,data,asia-south1,4784.135,request,150.46,0.86,0.367,12.48,1,85.01,0
bill-000068,2026-03-09,analytics-dev,Cloud Storage,storage,prod,platform,europe-west1,4406.76,node_hour,36.13,0.72,0.286,4.91,1,49.49,0
bill-000069,2026-03-10,payments-prod,Cloud Storage,training,dev,mlops,asia-south1,4773.61,hour,5.84,0.83,0.714,0.88,1,27.48,0
bill-000070,2026-03-11,sandbox,GKE,query,dev,finops,asia-south1,2092.245,node_hour,50.77,0.29,0.558,12.39,1,74.12,0
bill-000071,2026-03-12,ml-prod,Vertex AI,memory,sandbox,finops,us-east1,6421.839,slot_hour,80.15,0.45,0.676,19.35,1,145.73,0
bill-000072,2026-03-13,sandbox,Cloud Storage,training,prod,platform,global,2202.064,gibibyte,112.27,0.32,0,0.0,1,153.79,0
bill-000073,2026-03-14,sandbox,Compute Engine,database,staging,mlops,global,7439.361,gibibyte,50.14,0.83,0.873,20.75,1,74.28,0
bill-000074,2026-03-15,sandbox,Cloud Storage,query,prod,data,us-central1,7755.958,node_hour,50.97,0.54,0.539,12.41,1,69.82,0
bill-000075,2026-03-16,payments-prod,BigQuery,storage,sandbox,mlops,global,3125.34,request,46.26,0.18,0.634,5.93,1,115.65,0
bill-000076,2026-03-17,payments-prod,Pub/Sub,cpu,prod,data,europe-west1,7076.604,request,25.42,0.43,0.359,3.7,0,70.22,0
bill-000077,2026-03-18,ml-prod,Cloud Storage,storage,staging,backend,us-east1,1888.246,request,18.67,0.51,0.786,7.11,1,57.45,0
bill-000078,2026-03-19,analytics-dev,Compute Engine,training,prod,backend,us-east1,1299.864,slot_hour,140.23,0.29,0.471,25.3,1,91.65,0
bill-000079,2026-03-20,analytics-dev,BigQuery,network,prod,finops,europe-west1,3589.807,node_hour,260.2,0.78,0.293,26.7,1,124.5,0
bill-000080,2026-03-21,data-platform,Compute Engine,training,staging,platform,europe-west1,1743.345,request,101.83,0.65,0.498,13.95,1,150.86,0
bill-000081,2026-03-22,shared-services,Vertex AI,training,dev,data,us-central1,7495.118,slot_hour,71.5,0.45,0.71,22.87,1,87.2,0
bill-000082,2026-03-23,payments-prod,Pub/Sub,query,prod,backend,europe-west1,6456.053,request,52.04,0.41,0.357,4.98,1,143.76,0
bill-000083,2026-03-24,sandbox,Compute Engine,network,sandbox,data,europe-west1,677.621,node_hour,21.61,0.76,0.465,1.85,1,73.25,0
bill-000084,2026-03-25,payments-prod,Vertex AI,training,prod,backend,us-central1,5458.464,gibibyte,542.27,0.44,0.139,23.7,1,180,0
bill-000085,2026-03-26,analytics-dev,Cloud Storage,training,sandbox,data,global,5984.924,request,13.36,0.89,0.525,3.45,1,92.14,0
bill-000086,2026-03-27,data-platform,BigQuery,cpu,staging,backend,global,7975.508,node_hour,75.7,0.74,0.569,10.29,1,82.28,0
bill-000087,2026-03-28,sandbox,Vertex AI,training,prod,mlops,asia-south1,6045.478,gibibyte,367.92,0.64,0.577,48.23,0,127.31,0
bill-000088,2026-03-29,analytics-dev,BigQuery,training,dev,platform,europe-west1,5939.607,node_hour,39.01,0.71,0.673,4.1,1,65.56,0
bill-000089,2026-03-30,data-platform,Compute Engine,database,dev,data,us-central1,3871.714,request,42.95,0.8,0.6,8.17,1,98.17,0
bill-000090,2026-03-31,data-platform,Vertex AI,storage,sandbox,backend,global,200.421,slot_hour,54.25,0.71,0.392,10.89,1,98.64,0
bill-000091,2026-04-01,sandbox,Cloud SQL,network,sandbox,backend,us-east1,2024.514,slot_hour,53.83,0.43,0.748,14.86,1,158.32,0
bill-000092,2026-04-02,analytics-dev,Cloud Storage,cpu,prod,mlops,global,590.118,gibibyte,175.31,0.7,0.306,24.96,1,180,1
bill-000093,2026-04-03,data-platform,Cloud Storage,cpu,dev,platform,asia-south1,2325.057,slot_hour,30.06,0.5,0.5,6.31,1,141.46,0
bill-000094,2026-04-04,ml-prod,Cloud Storage,database,prod,finops,us-central1,3723.904,gibibyte,73.73,0.49,0.09,1.03,1,101.0,0
bill-000095,2026-04-05,shared-services,Cloud SQL,training,dev,mlops,global,2641.541,gibibyte,35.77,0.37,0.262,2.47,1,70.83,0
bill-000096,2026-04-06,payments-prod,Cloud SQL,cpu,prod,finops,global,6680.865,gibibyte,221.64,0.89,0.391,15.92,1,125.22,0
bill-000097,2026-04-07,sandbox,Cloud Storage,cpu,staging,finops,europe-west1,5525.36,gibibyte,32.95,0.82,0.799,13.9,1,101.38,0
bill-000098,2026-04-08,data-platform,GKE,network,dev,platform,global,6718.14,gibibyte,54.74,0.9,0.406,5.58,1,79.91,0
bill-000099,2026-04-09,shared-services,Cloud SQL,network,dev,data,asia-south1,5335.117,gibibyte,94.28,0.31,0.603,14.45,1,180,0
bill-000100,2026-04-10,ml-prod,BigQuery,database,sandbox,platform,global,2562.043,slot_hour,35.71,0.86,0.63,9.84,1,89.28,0
bill-000101,2026-04-11,ml-prod,Pub/Sub,network,dev,platform,europe-west1,872.567,request,13.44,0.24,0.771,2.18,1,123.3,0
bill-000102,2026-04-12,data-platform,Vertex AI,training,staging,platform,us-east1,6801.972,node_hour,90.82,0.4,0.751,28.3,1,71.51,0
bill-000103,2026-04-13,ml-prod,BigQuery,query,dev,finops,us-central1,5476.781,gibibyte,44.07,0.81,0.857,16.44,1,74.07,0
bill-000104,2026-04-14,shared-services,Cloud Storage,memory,dev,platform,global,3697.322,gibibyte,13.42,0.78,0.387,2.31,1,63.15,0
bill-000105,2026-04-15,sandbox,Cloud Storage,network,prod,data,us-east1,6574.702,hour,89.37,0.85,0.448,9.6,0,122.42,0
bill-000106,2026-04-16,payments-prod,BigQuery,training,staging,finops,global,3891.68,gibibyte,124.94,0.78,0.775,42.15,1,135.8,0
bill-000107,2026-04-17,data-platform,BigQuery,cpu,sandbox,platform,asia-south1,5418.275,hour,45.83,0.14,0.807,11.73,1,114.58,0
bill-000108,2026-04-18,analytics-dev,BigQuery,training,prod,data,us-east1,2037.578,gibibyte,373.8,0.93,0.212,39.5,1,178.85,0
bill-000109,2026-04-19,sandbox,Vertex AI,training,prod,mlops,us-east1,4672.768,slot_hour,621.96,0.43,0.407,64.38,1,180,0
bill-000110,2026-04-20,analytics-dev,Compute Engine,memory,staging,backend,asia-south1,7592.437,request,47.99,0.21,0.865,15.6,1,71.1,0
bill-000111,2026-04-21,shared-services,Compute Engine,cpu,dev,data,us-central1,7896.9,slot_hour,29.68,0.94,0.72,6.13,1,67.84,0
bill-000112,2026-04-22,sandbox,Cloud SQL,network,prod,finops,global,666.836,node_hour,266.16,0.71,0.348,31.09,1,150.37,0
bill-000113,2026-04-23,payments-prod,Compute Engine,query,staging,backend,global,7272.92,hour,67.95,0.56,0.387,6.15,1,100.67,0
bill-000114,2026-04-24,payments-prod,Pub/Sub,memory,prod,platform,us-east1,1471.543,hour,36.5,0.11,0.172,2.09,1,100.83,0
bill-000115,2026-04-25,data-platform,Cloud SQL,storage,prod,platform,global,865.814,gibibyte,122.09,0.28,0.799,16.56,1,68.98,0
bill-000116,2026-04-26,shared-services,BigQuery,cpu,prod,platform,us-central1,3523.451,hour,265.23,0.61,0.178,25.14,1,126.9,0
bill-000117,2026-04-27,analytics-dev,Cloud SQL,query,prod,finops,asia-south1,5436.856,request,213.51,0.17,0.403,45.41,1,120.63,0
bill-000118,2026-04-28,sandbox,GKE,cpu,sandbox,platform,us-central1,5505.524,gibibyte,42.08,0.55,0.428,6.97,1,91.48,0
bill-000119,2026-04-29,shared-services,BigQuery,cpu,staging,platform,global,4256.765,node_hour,77.29,0.74,0.57,19.97,1,84.01,0
bill-000120,2026-04-30,analytics-dev,Cloud Storage,training,dev,mlops,global,5944.042,node_hour,13.6,0.64,0.366,1.92,1,64.0,0
bill-000121,2026-05-01,payments-prod,Cloud SQL,query,dev,mlops,us-central1,4305.648,gibibyte,43.64,0.62,0.969,6.82,1,86.42,0
bill-000122,2026-05-02,shared-services,Cloud Storage,database,prod,platform,us-central1,2555.731,node_hour,60.43,0.78,0.498,14.55,1,82.78,0
bill-000123,2026-05-03,sandbox,Cloud SQL,training,staging,platform,us-east1,417.903,request,105.29,0.89,0.377,11.88,1,134.99,0
bill-000124,2026-05-04,data-platform,Pub/Sub,storage,sandbox,platform,us-east1,153.156,slot_hour,7.1,0.86,0.387,1.39,1,93.42,0
bill-000125,2026-05-05,shared-services,GKE,cpu,prod,data,global,2792.027,node_hour,311.93,0.27,0.617,49.13,1,129.43,0
bill-000126,2026-05-06,analytics-dev,Vertex AI,training,prod,backend,europe-west1,4627.799,gibibyte,81.39,0.1,0.672,15.75,1,28.16,0
bill-000127,2026-05-07,analytics-dev,Cloud Storage,query,staging,mlops,europe-west1,6692.363,hour,17.67,0.78,0.513,1.75,1,54.37,0
bill-000128,2026-05-08,data-platform,Cloud SQL,database,prod,mlops,asia-south1,5798.92,node_hour,260.89,0.59,0.368,31.41,1,147.4,0
bill-000129,2026-05-09,analytics-dev,Compute Engine,training,staging,data,asia-south1,6543.0,slot_hour,59.24,0.34,0.446,8.19,1,87.76,0
bill-000130,2026-05-10,analytics-dev,Vertex AI,storage,sandbox,mlops,europe-west1,6538.972,request,36.45,0.88,0.715,10.44,1,66.27,0
bill-000131,2026-05-11,payments-prod,BigQuery,cpu,dev,backend,europe-west1,3463.053,request,44.53,0.79,0.717,6.48,1,74.84,0
bill-000132,2026-05-12,data-platform,Vertex AI,storage,prod,finops,europe-west1,6652.3,request,431.66,0.92,0.328,43.3,1,149.36,0
bill-000133,2026-05-13,analytics-dev,Cloud Storage,memory,sandbox,data,europe-west1,5899.424,slot_hour,7.39,0.16,0.464,0.63,1,50.97,0
bill-000134,2026-05-14,analytics-dev,Cloud Storage,query,dev,finops,global,4826.117,node_hour,12.02,0.51,0.529,2.85,1,56.56,0
bill-000135,2026-05-15,analytics-dev,BigQuery,network,sandbox,platform,us-east1,6422.756,gibibyte,24.86,0.64,0.413,3.71,1,62.15,0
bill-000136,2026-05-16,analytics-dev,Pub/Sub,query,prod,data,europe-west1,4423.139,gibibyte,45.02,0.68,0,0.0,1,124.36,0
bill-000137,2026-05-17,sandbox,Pub/Sub,training,dev,backend,us-central1,4127.618,hour,14.39,0.12,0.528,1.87,1,132.02,0
bill-000138,2026-05-18,ml-prod,GKE,training,prod,backend,us-east1,1831.315,slot_hour,532.77,0.77,0.37,71.03,1,180,1
bill-000139,2026-05-19,shared-services,Pub/Sub,storage,dev,mlops,global,7369.604,gibibyte,15.4,0.93,0.689,3.35,1,141.28,0
bill-000140,2026-05-20,sandbox,Compute Engine,training,prod,mlops,us-east1,7922.803,gibibyte,94.37,0.64,0.442,14.22,1,61.68,0
bill-000141,2026-05-21,data-platform,Cloud SQL,network,dev,data,global,4278.416,node_hour,21.61,0.44,0.525,2.93,1,42.79,0
bill-000142,2026-05-22,data-platform,BigQuery,training,dev,mlops,europe-west1,2810.972,gibibyte,60.45,0.78,0.438,4.85,1,101.6,0
bill-000143,2026-05-23,sandbox,GKE,storage,staging,platform,us-east1,5370.314,node_hour,110.48,0.94,0.484,26.79,1,104.23,0
bill-000144,2026-05-24,sandbox,Compute Engine,cpu,staging,backend,us-central1,4249.411,gibibyte,47.97,0.51,0.601,14.11,1,71.07,0
bill-000145,2026-05-25,ml-prod,Vertex AI,memory,prod,platform,asia-south1,520.408,hour,158.82,0.5,0.181,9.38,1,54.96,0
bill-000146,2026-05-26,ml-prod,Pub/Sub,network,dev,backend,europe-west1,7131.67,node_hour,10.44,0.54,0.812,4.58,1,95.78,0
bill-000147,2026-05-27,data-platform,BigQuery,training,dev,backend,asia-south1,2928.98,hour,36.18,0.18,0.789,10.95,1,60.81,0
bill-000148,2026-05-28,payments-prod,Cloud SQL,training,prod,mlops,asia-south1,1000.894,gibibyte,458.4,0.1,0.822,154.07,1,180,1
bill-000149,2026-05-29,shared-services,Pub/Sub,database,staging,backend,us-central1,6532.295,slot_hour,15.95,0.57,0.327,1.39,1,97.26,0
bill-000150,2026-05-30,analytics-dev,Vertex AI,training,prod,finops,us-east1,7834.85,slot_hour,176.14,0.06,0.256,23.13,1,60.95,0
bill-000151,2026-05-31,shared-services,BigQuery,storage,dev,platform,us-central1,6379.386,request,30.33,0.7,0.581,6.23,1,50.97,0
bill-000152,2026-06-01,analytics-dev,GKE,database,dev,backend,global,6967.496,gibibyte,117.08,0.09,0.514,24.37,1,170.92,0
bill-000153,2026-06-02,sandbox,Compute Engine,training,dev,data,us-central1,733.761,gibibyte,96.68,0.36,0.779,37.34,1,180,1
bill-000154,2026-06-03,shared-services,BigQuery,memory,prod,backend,asia-south1,410.196,hour,498.72,0.71,0.641,50.32,1,180,1
bill-000155,2026-06-04,sandbox,Pub/Sub,storage,prod,backend,us-east1,3105.435,node_hour,27.65,0.46,0.27,3.09,1,76.38,0
bill-000156,2026-06-05,analytics-dev,Pub/Sub,query,dev,backend,us-central1,6204.894,hour,6.74,0.09,0.592,0.75,1,61.83,0
bill-000157,2026-06-06,analytics-dev,Pub/Sub,training,prod,finops,us-east1,6831.497,request,45.76,0.15,0.457,7.43,0,126.41,0
bill-000158,2026-06-07,shared-services,GKE,query,dev,backend,asia-south1,5457.385,request,46.06,0.42,0.635,6.25,0,67.24,0
bill-000159,2026-06-08,shared-services,Compute Engine,storage,prod,data,us-central1,5695.99,request,173.0,0.41,0.548,33.6,1,113.07,0
bill-000160,2026-06-09,sandbox,Vertex AI,training,dev,backend,asia-south1,833.289,gibibyte,88.23,0.53,0.661,16.21,1,107.6,0
bill-000161,2026-06-10,data-platform,BigQuery,database,sandbox,mlops,global,2453.887,gibibyte,58.58,0.13,0.656,13.69,1,146.45,0
bill-000162,2026-06-11,analytics-dev,Compute Engine,network,prod,finops,asia-south1,2743.47,gibibyte,119.41,0.69,0.467,19.86,1,78.05,0
bill-000163,2026-06-12,sandbox,GKE,training,prod,mlops,europe-west1,3261.527,node_hour,254.0,0.86,0.45,21.64,1,105.39,0
bill-000164,2026-06-13,payments-prod,Cloud SQL,training,dev,mlops,global,5509.969,slot_hour,36.98,0.31,0.732,12.02,0,73.23,0
bill-000165,2026-06-14,ml-prod,BigQuery,network,staging,data,us-central1,505.665,slot_hour,218.04,0.67,0.796,36.81,1,180,1
bill-000166,2026-06-15,payments-prod,Cloud Storage,memory,dev,data,us-east1,239.115,request,39.27,0.36,0.812,7.63,1,180,0
bill-000167,2026-06-16,data-platform,Compute Engine,cpu,sandbox,data,global,432.934,request,29.42,0.82,0.82,13.06,1,99.73,0
bill-000168,2026-06-17,shared-services,GKE,training,dev,data,us-central1,7567.539,hour,24.61,0.45,0.581,4.27,1,35.93,0
bill-000169,2026-06-18,ml-prod,BigQuery,storage,dev,platform,europe-west1,7479.666,node_hour,40.48,0.18,0.477,9.26,1,68.03,0
bill-000170,2026-06-19,data-platform,BigQuery,cpu,staging,platform,asia-south1,7831.975,hour,108.7,0.5,0.088,3.12,1,118.15,0
bill-000171,2026-06-20,sandbox,Vertex AI,storage,dev,finops,global,1901.716,request,39.19,0.61,0.421,6.24,1,47.79,0
bill-000172,2026-06-21,ml-prod,Pub/Sub,database,staging,finops,global,7365.302,hour,14.38,0.08,0.898,5.39,1,87.68,0
bill-000173,2026-06-22,data-platform,BigQuery,cpu,prod,mlops,asia-south1,3780.677,request,133.89,0.28,0,0.0,1,64.06,0
bill-000174,2026-06-23,sandbox,Compute Engine,cpu,prod,platform,europe-west1,818.869,slot_hour,82.89,0.16,0.41,15.55,1,54.18,0
bill-000175,2026-06-24,ml-prod,BigQuery,training,dev,backend,europe-west1,4998.268,slot_hour,67.3,0.65,0.504,10.01,0,113.11,0
bill-000176,2026-06-25,ml-prod,Vertex AI,memory,dev,finops,global,2577.173,gibibyte,55.36,0.3,0.515,14.7,1,67.51,0
bill-000177,2026-06-26,data-platform,GKE,memory,prod,mlops,europe-west1,6908.239,slot_hour,193.73,0.36,0.328,29.26,1,80.39,0
bill-000178,2026-06-27,analytics-dev,GKE,memory,prod,platform,europe-west1,5003.856,node_hour,130.67,0.54,0,0.0,1,54.22,0
bill-000179,2026-06-28,ml-prod,GKE,query,prod,data,us-central1,2386.489,hour,269.17,0.26,0.45,63.77,1,111.69,0
bill-000180,2026-06-29,payments-prod,Cloud SQL,storage,dev,backend,us-east1,4401.353,request,38.19,0.37,0.635,13.14,1,75.62,0
bill-000181,2026-01-01,ml-prod,Vertex AI,network,prod,platform,us-east1,2085.775,hour,190.87,0.74,0.672,24.11,0,66.04,0
bill-000182,2026-01-02,sandbox,Pub/Sub,network,sandbox,platform,us-east1,4295.637,slot_hour,4.18,0.11,0.565,0.54,1,55.0,0
bill-000183,2026-01-03,data-platform,Pub/Sub,storage,prod,finops,us-central1,4448.569,slot_hour,51.03,0.31,0.576,8.92,1,140.97,0
bill-000184,2026-01-04,payments-prod,Cloud Storage,query,prod,backend,asia-south1,676.555,slot_hour,128.82,0.72,0.614,32.49,1,176.47,0
bill-000185,2026-01-05,data-platform,Cloud SQL,database,prod,finops,asia-south1,7948.578,gibibyte,185.04,0.69,0.214,19.11,0,104.54,0
bill-000186,2026-01-06,data-platform,Cloud SQL,cpu,sandbox,mlops,us-central1,2934.741,request,23.33,0.7,0.339,2.3,1,68.62,0
bill-000187,2026-01-07,data-platform,Compute Engine,memory,prod,data,asia-south1,3328.591,slot_hour,125.22,0.81,0.259,12.46,1,81.84,0
bill-000188,2026-01-08,payments-prod,Pub/Sub,query,staging,data,asia-south1,6804.002,request,24.79,0.12,0.447,4.0,1,151.16,0
bill-000189,2026-01-09,payments-prod,Pub/Sub,training,prod,finops,us-central1,4902.755,node_hour,43.85,0.3,0.24,4.25,1,121.13,0
