evaluation_id,evaluation_timestamp,question_domain,prompt_template_version,model_name,retrieval_top_k,retrieved_context_count,context_relevance_score,groundedness_score,answer_similarity_score,citation_coverage_pct,response_latency_ms,input_tokens,output_tokens,estimated_cost_usd,hallucination_flag,evaluation_passed
rag-eval-000001,2026-01-01T00:00:00+00:00,terraform,v2,gemini-1.5-flash,10,11,0.646,0.67,0.606,51.8,1350,1112,539,0.00645,1,0
rag-eval-000002,2026-01-01T00:11:00+00:00,gke,v1,gemini-1.5-flash,5,4,0.409,0.666,0.731,63.17,1156,655,398,0.0037,1,0
rag-eval-000003,2026-01-01T00:22:00+00:00,cloud-run,v3,openai-gpt-4o-mini,10,8,0.974,1,0.977,100,1303,1362,725,0.0005,0,1
rag-eval-000004,2026-01-01T00:33:00+00:00,vertex-ai,v2,gemini-1.5-flash,10,8,0.507,0.488,0.448,47.22,1638,1373,791,0.00458,1,0
rag-eval-000005,2026-01-01T00:44:00+00:00,bigquery,v1,gemini-1.5-flash,8,5,0.675,0.772,0.662,70.92,1503,1138,479,0.00593,0,1
rag-eval-000006,2026-01-01T00:55:00+00:00,security,v1,gemini-1.5-pro,5,4,0.831,0.772,0.61,63.72,1180,1536,435,0.0012,0,1
rag-eval-000007,2026-01-01T01:06:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,5,3,0.961,1,1,86.47,1182,883,253,0.00241,0,1
rag-eval-000008,2026-01-01T01:17:00+00:00,monitoring,v2,gemini-1.5-flash,10,8,0.917,0.95,0.883,80.44,1627,1624,703,0.00673,0,1
rag-eval-000009,2026-01-01T01:28:00+00:00,security,v2,openai-gpt-4o-mini,3,3,0.745,0.947,0.683,100,1152,688,238,0.00296,0,1
rag-eval-000010,2026-01-01T01:39:00+00:00,security,v2,gemini-1.5-flash,10,9,0.395,0.41,0.668,55.86,1166,1285,802,0.00142,1,0
rag-eval-000011,2026-01-01T01:50:00+00:00,terraform,v3,claude-haiku,5,2,0.88,0.907,0.772,99.1,1234,808,514,0.00141,0,1
rag-eval-000012,2026-01-01T02:01:00+00:00,cloud-run,v3,gemini-1.5-pro,3,4,0.536,0.757,0.616,61.87,1029,675,383,0.00111,0,1
rag-eval-000013,2026-01-01T02:12:00+00:00,gke,v3,openai-gpt-4o-mini,3,1,0.741,0.822,1,83.55,1351,728,255,0.00187,0,1
rag-eval-000014,2026-01-01T02:23:00+00:00,terraform,v1,claude-haiku,5,1,0.58,0.486,0.25,44.08,1194,996,534,0.00059,1,0
rag-eval-000015,2026-01-01T02:34:00+00:00,bigquery,v1,claude-haiku,10,11,0.473,0.765,1,59.67,1076,1794,719,0.00367,1,0
rag-eval-000016,2026-01-01T02:45:00+00:00,monitoring,v3,claude-haiku,8,7,0.683,0.682,0.554,66.23,1273,1209,468,0.00552,0,1
rag-eval-000017,2026-01-01T02:56:00+00:00,bigquery,v3,gemini-1.5-pro,5,3,0.881,0.778,0.921,71.25,1703,860,347,0.00368,0,1
rag-eval-000018,2026-01-01T03:07:00+00:00,vertex-ai,v1,claude-haiku,8,4,0.772,0.778,0.74,66.68,1418,1311,703,0.00505,0,1
rag-eval-000019,2026-01-01T03:18:00+00:00,vertex-ai,v1,gemini-1.5-flash,5,4,0.574,0.598,0.543,79.45,1163,1169,332,0.00381,0,0
rag-eval-000020,2026-01-01T03:29:00+00:00,vertex-ai,v3,openai-gpt-4o-mini,5,6,0.403,0.435,0.328,56.96,852,867,396,0.00468,1,0
rag-eval-000021,2026-01-01T03:40:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,10,8,0.635,0.641,0.531,53.93,986,1353,631,0.00107,0,0
rag-eval-000022,2026-01-01T03:51:00+00:00,security,v3,openai-gpt-4o-mini,5,3,0.952,1,1,95.7,1082,1176,624,0.00465,0,1
rag-eval-000023,2026-01-01T04:02:00+00:00,terraform,v1,openai-gpt-4o-mini,10,8,0.715,0.825,0.926,85.43,1113,980,637,0.00635,0,1
rag-eval-000024,2026-01-01T04:13:00+00:00,gke,v2,openai-gpt-4o-mini,10,7,0.553,0.445,0.49,18.71,1394,1465,773,0.00451,1,0
rag-eval-000025,2026-01-01T04:24:00+00:00,gke,v1,claude-haiku,8,6,0.612,0.611,0.562,62.5,894,1006,454,0.00518,0,0
rag-eval-000026,2026-01-01T04:35:00+00:00,terraform,v2,claude-haiku,10,9,0.474,0.172,0.008,0,1650,1165,656,0.00576,1,0
rag-eval-000027,2026-01-01T04:46:00+00:00,bigquery,v2,gemini-1.5-pro,10,11,0.363,0.536,0.481,65.36,1388,1113,699,0.00046,1,0
rag-eval-000028,2026-01-01T04:57:00+00:00,security,v1,openai-gpt-4o-mini,5,5,0.659,0.678,0.509,61.65,1506,689,430,0.00073,0,1
rag-eval-000029,2026-01-01T05:08:00+00:00,security,v3,gemini-1.5-pro,8,6,0.735,0.656,0.671,54.49,1466,1382,489,0.00555,1,0
rag-eval-000030,2026-01-01T05:19:00+00:00,bigquery,v2,openai-gpt-4o-mini,5,3,0.611,0.901,0.944,94.94,1186,1007,430,0.00336,0,1
rag-eval-000031,2026-01-01T05:30:00+00:00,gke,v3,openai-gpt-4o-mini,10,7,0.816,0.88,0.903,91.83,1193,1222,429,0.00147,0,1
rag-eval-000032,2026-01-01T05:41:00+00:00,bigquery,v3,openai-gpt-4o-mini,3,1,0.821,0.666,0.697,92.46,1089,255,92,0.0011,0,1
rag-eval-000033,2026-01-01T05:52:00+00:00,monitoring,v3,gemini-1.5-flash,3,2,0.466,0.264,0.186,18.56,1523,789,400,0.00371,1,0
rag-eval-000034,2026-01-01T06:03:00+00:00,vertex-ai,v3,gemini-1.5-pro,5,1,0.953,1,0.912,100,1159,735,479,0.00121,1,0
rag-eval-000035,2026-01-01T06:14:00+00:00,vertex-ai,v1,gemini-1.5-pro,3,1,0.795,0.895,0.801,100,927,686,379,0.00226,0,1
rag-eval-000036,2026-01-01T06:25:00+00:00,security,v1,openai-gpt-4o-mini,5,3,0.86,0.782,0.625,60.53,1215,579,300,0.00062,0,1
rag-eval-000037,2026-01-01T06:36:00+00:00,security,v2,gemini-1.5-pro,10,10,0.407,0.371,0.363,37.8,1139,1184,763,0.00102,1,0
rag-eval-000038,2026-01-01T06:47:00+00:00,vertex-ai,v1,gemini-1.5-flash,3,1,1,1,0.978,71.11,1051,679,328,0.00374,0,1
rag-eval-000039,2026-01-01T06:58:00+00:00,monitoring,v1,openai-gpt-4o-mini,3,1,0.937,0.888,0.93,100,1145,968,495,0.00515,0,1
rag-eval-000040,2026-01-01T07:09:00+00:00,gke,v1,claude-haiku,8,6,0.649,0.342,0.318,31.62,1450,1007,337,0.00196,1,0
rag-eval-000041,2026-01-01T07:20:00+00:00,cloud-run,v2,openai-gpt-4o-mini,8,7,0.413,0.333,0.416,24.72,1511,900,321,0.00299,1,0
rag-eval-000042,2026-01-01T07:31:00+00:00,security,v2,gemini-1.5-flash,3,1,0.52,0.635,0.788,70.17,1345,616,277,0.00164,0,0
rag-eval-000043,2026-01-01T07:42:00+00:00,gke,v3,gemini-1.5-flash,5,6,0.615,0.878,0.936,91.93,1328,786,322,0.00443,0,1
rag-eval-000044,2026-01-01T07:53:00+00:00,bigquery,v1,claude-haiku,10,9,0.809,0.923,0.967,96.5,1345,1499,757,0.00556,0,1
rag-eval-000045,2026-01-01T08:04:00+00:00,terraform,v1,gemini-1.5-flash,8,6,0.904,0.907,0.932,85.67,959,1008,403,0.00036,0,1
rag-eval-000046,2026-01-01T08:15:00+00:00,vertex-ai,v1,gemini-1.5-pro,5,3,0.518,0.464,0.495,33.89,1304,895,440,0.00259,1,0
rag-eval-000047,2026-01-01T08:26:00+00:00,vertex-ai,v3,gemini-1.5-flash,8,4,0.711,0.748,0.796,69.64,1325,1068,628,0.00064,0,1
rag-eval-000048,2026-01-01T08:37:00+00:00,gke,v1,openai-gpt-4o-mini,10,7,0.734,0.688,0.732,82.03,1440,1229,448,0.00064,0,1
rag-eval-000049,2026-01-01T08:48:00+00:00,cloud-run,v1,openai-gpt-4o-mini,5,3,0.715,0.593,0.91,76.23,1024,682,360,0.00148,0,0
rag-eval-000050,2026-01-01T08:59:00+00:00,gke,v1,openai-gpt-4o-mini,8,7,0.581,0.746,0.82,80.69,1145,709,241,0.00114,0,1
rag-eval-000051,2026-01-01T09:10:00+00:00,gke,v1,gemini-1.5-pro,5,3,0.402,0.664,0.858,63.21,1317,1137,425,0.00357,1,0
rag-eval-000052,2026-01-01T09:21:00+00:00,security,v1,claude-haiku,3,2,0.751,0.867,1,100,1075,883,335,0.00236,0,1
rag-eval-000053,2026-01-01T09:32:00+00:00,vertex-ai,v3,gemini-1.5-pro,5,3,0.854,0.921,0.898,86.68,1042,831,349,0.00445,1,0
rag-eval-000054,2026-01-01T09:43:00+00:00,gke,v1,openai-gpt-4o-mini,8,6,0.588,0.785,0.981,72.26,939,934,403,0.0057,0,1
