record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-079-00001,2026-01-01,project-04,cloud-sql,europe-west1,prod,security,latency,63.305,9.833,0.688,150.076,91.067,1
finops-budget-079-00002,2026-01-02,project-14,pubsub,asia-south1,prod,mlops,cost,70.026,8.126,0.741,140.256,89.859,1
finops-budget-079-00003,2026-01-03,project-20,vertex-ai,europe-west1,prod,finops,cost,97.13,5.829,0.378,177.688,86.739,1
finops-budget-079-00004,2026-01-04,project-22,compute,europe-west1,sandbox,finops,reliability,48.673,8.649,0.637,62.284,68.595,0
finops-budget-079-00005,2026-01-05,project-02,gke,europe-west1,dev,backend,cost,42.696,2.59,0.62,207.983,73.018,1
finops-budget-079-00006,2026-01-06,project-18,bigquery,global,staging,finops,quality,70.132,9.454,0.497,95.115,77.871,1
finops-budget-079-00007,2026-01-07,project-20,cloud-run,us-east1,prod,mlops,security,69.976,6.226,0.575,25.775,62.903,0
finops-budget-079-00008,2026-01-08,project-04,vertex-ai,asia-south1,prod,data,cost,46.454,7.651,0.852,229.287,97.369,1
finops-budget-079-00009,2026-01-09,project-23,vertex-ai,us-east1,dev,platform,latency,62.455,11.563,0.382,80.222,73.909,1
finops-budget-079-00010,2026-01-10,project-20,compute,europe-west1,staging,security,cost,61.324,23.434,0.465,87.78,100,1
finops-budget-079-00011,2026-01-11,project-06,vertex-ai,europe-west1,prod,security,security,83.932,11.045,0.691,173.525,100,1
finops-budget-079-00012,2026-01-12,project-07,vertex-ai,global,dev,finops,reliability,43.426,10.684,0.538,178.817,85.036,1
finops-budget-079-00013,2026-01-13,project-14,bigquery,us-central1,staging,data,cost,39.058,8.006,0.353,78.95,56.22,0
finops-budget-079-00014,2026-01-14,project-10,cloud-run,global,prod,backend,latency,87.687,9.214,0.697,72.564,87.167,1
finops-budget-079-00015,2026-01-15,project-04,compute,europe-west1,staging,mlops,security,65.317,7.638,0.545,84.815,72.127,1
finops-budget-079-00016,2026-01-16,project-15,gke,asia-south1,sandbox,platform,latency,60.234,24.707,0.335,16.173,92.815,1
finops-budget-079-00017,2026-01-17,project-06,cloud-run,us-east1,dev,security,quality,13.928,8.739,0.652,135.616,67.863,1
finops-budget-079-00018,2026-01-18,project-05,pubsub,us-east1,dev,data,cost,48.097,6.729,0.741,139.118,78.758,1
finops-budget-079-00019,2026-01-19,project-02,compute,global,dev,mlops,security,60.54,11.785,0.419,55.804,71.49,1
