record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-021-00001,2026-01-01,project-11,bigquery,global,prod,mlops,quality,82.736,6.367,0.248,141.866,73.183,1
gcp-cost-021-00002,2026-01-02,project-20,vertex-ai,global,prod,data,cost,55.345,18.52,0.557,237.032,100,1
gcp-cost-021-00003,2026-01-03,project-08,pubsub,global,prod,mlops,quality,50.646,6.817,0.538,102.779,67.451,1
gcp-cost-021-00004,2026-01-04,project-10,bigquery,us-central1,staging,data,latency,57.83,19.78,0.911,0.0,98.279,1
gcp-cost-021-00005,2026-01-05,project-07,gke,us-east1,prod,backend,cost,93.362,9.216,0.49,278.857,100,1
gcp-cost-021-00006,2026-01-06,project-09,compute,us-central1,prod,backend,security,57.484,9.986,0.536,146.779,83.585,1
gcp-cost-021-00007,2026-01-07,project-09,compute,us-central1,prod,platform,latency,59.999,9.267,0.787,152.924,92.469,1
gcp-cost-021-00008,2026-01-08,project-13,cloud-run,us-central1,dev,finops,quality,18.218,16.648,0.512,157.662,86.134,1
gcp-cost-021-00009,2026-01-09,project-14,bigquery,global,dev,mlops,security,46.732,4.659,0.676,164.33,74.852,1
gcp-cost-021-00010,2026-01-10,project-22,compute,asia-south1,prod,backend,quality,86.465,10.205,0.593,61.448,83.791,1
gcp-cost-021-00011,2026-01-11,project-03,cloud-sql,europe-west1,prod,platform,security,67.531,6.129,0.553,117.15,74.376,1
gcp-cost-021-00012,2026-01-12,project-19,gke,us-central1,prod,platform,quality,60.998,5.468,0.646,176.723,82.49,1
gcp-cost-021-00013,2026-01-13,project-18,pubsub,global,sandbox,backend,quality,31.911,13.892,0.484,133.959,80.059,1
gcp-cost-021-00014,2026-01-14,project-02,gke,us-central1,sandbox,mlops,cost,0.0,7.869,0.53,173.071,62.151,0
gcp-cost-021-00015,2026-01-15,project-17,pubsub,asia-south1,prod,platform,latency,37.99,12.067,0.524,127.469,78.382,1
gcp-cost-021-00016,2026-01-16,project-24,bigquery,europe-west1,dev,platform,latency,29.223,11.405,0.566,152.261,78.854,1
gcp-cost-021-00017,2026-01-17,project-08,cloud-sql,us-east1,prod,finops,cost,58.249,6.917,0.38,222.036,82.207,1
gcp-cost-021-00018,2026-01-18,project-03,vertex-ai,global,prod,mlops,quality,119.065,11.225,0.455,152.74,100,1
gcp-cost-021-00019,2026-01-19,project-08,compute,global,prod,mlops,cost,114.266,10.88,0.602,147.159,100,1
gcp-cost-021-00020,2026-01-20,project-16,vertex-ai,us-east1,staging,security,security,87.149,9.588,0.606,192.556,100,1
gcp-cost-021-00021,2026-01-21,project-01,pubsub,us-central1,prod,finops,reliability,73.464,13.942,0.568,119.58,95.562,1
gcp-cost-021-00022,2026-01-22,project-18,compute,us-central1,sandbox,data,cost,32.982,5.89,0.871,217.773,87.531,1
gcp-cost-021-00023,2026-01-23,project-13,vertex-ai,asia-south1,sandbox,platform,security,33.752,4.996,0.193,135.775,50.026,0
gcp-cost-021-00024,2026-01-24,project-05,vertex-ai,global,staging,mlops,security,58.557,7.723,0.642,59.55,69.67,1
gcp-cost-021-00025,2026-01-25,project-01,bigquery,global,prod,backend,reliability,92.526,10.053,0.552,68.649,85.172,1
gcp-cost-021-00026,2026-01-26,project-12,gke,us-east1,staging,backend,cost,49.115,4.242,0.428,85.011,54.466,0
gcp-cost-021-00027,2026-01-27,project-20,compute,asia-south1,staging,mlops,security,18.863,2.761,0.39,280.39,67.585,1
gcp-cost-021-00028,2026-01-28,project-24,cloud-sql,global,dev,backend,reliability,43.766,10.655,0.618,143.103,82.679,1
gcp-cost-021-00029,2026-01-29,project-20,pubsub,europe-west1,prod,finops,quality,54.704,4.644,0.431,122.521,62.935,0
gcp-cost-021-00030,2026-01-30,project-09,cloud-run,us-east1,dev,mlops,latency,37.109,9.583,0.466,106.067,67.127,1
gcp-cost-021-00031,2026-01-31,project-18,gke,europe-west1,staging,data,quality,30.381,26.708,0.496,199.321,100,1
gcp-cost-021-00032,2026-02-01,project-20,vertex-ai,us-central1,prod,finops,cost,34.622,20.627,0.77,61.142,96.114,1
gcp-cost-021-00033,2026-02-02,project-03,cloud-sql,asia-south1,prod,security,cost,88.514,10.066,0.399,3.206,68.9,1
gcp-cost-021-00034,2026-02-03,project-16,pubsub,us-east1,prod,security,cost,38.802,15.491,0.615,70.291,81.502,1
gcp-cost-021-00035,2026-02-04,project-03,cloud-sql,us-central1,sandbox,finops,reliability,40.775,15.86,0.571,5.927,72.127,0
gcp-cost-021-00036,2026-02-05,project-17,compute,europe-west1,staging,mlops,security,49.789,7.556,0.552,84.268,66.666,1
gcp-cost-021-00037,2026-02-06,project-16,cloud-run,asia-south1,sandbox,security,latency,78.506,22.127,0.273,134.846,100,1
gcp-cost-021-00038,2026-02-07,project-08,pubsub,us-central1,dev,finops,quality,65.422,10.775,0.608,144.165,90.343,1
gcp-cost-021-00039,2026-02-08,project-01,cloud-sql,us-central1,prod,platform,reliability,73.232,17.402,0.478,111.955,99.293,1
gcp-cost-021-00040,2026-02-09,project-05,cloud-sql,global,sandbox,mlops,security,22.86,18.679,0.524,100.119,84.526,1
gcp-cost-021-00041,2026-02-10,project-01,cloud-sql,asia-south1,prod,backend,cost,50.911,6.046,0.727,170.605,82.251,1
gcp-cost-021-00042,2026-02-11,project-14,pubsub,us-east1,staging,backend,latency,25.815,7.21,0.794,156.445,76.463,0
gcp-cost-021-00043,2026-02-12,project-23,pubsub,europe-west1,prod,data,cost,50.722,5.843,0.873,115.673,78.81,1
gcp-cost-021-00044,2026-02-13,project-09,bigquery,us-central1,prod,platform,latency,69.616,4.612,0.843,230.844,98.297,1
gcp-cost-021-00045,2026-02-14,project-05,gke,us-east1,sandbox,data,cost,70.974,10.458,0.635,32.868,76.261,1
gcp-cost-021-00046,2026-02-15,project-05,compute,global,prod,platform,security,61.374,19.432,0.441,106.348,97.766,1
gcp-cost-021-00047,2026-02-16,project-02,compute,us-east1,prod,backend,latency,46.414,4.21,0.096,53.773,37.27,0
gcp-cost-021-00048,2026-02-17,project-21,pubsub,asia-south1,prod,mlops,reliability,52.483,7.956,0.537,177.342,81.59,1
gcp-cost-021-00049,2026-02-18,project-04,pubsub,us-east1,staging,backend,reliability,40.823,6.823,0.697,97.64,68.843,1
gcp-cost-021-00050,2026-02-19,project-11,compute,asia-south1,prod,platform,security,67.49,26.518,0.726,20.838,100,1
gcp-cost-021-00051,2026-02-20,project-09,vertex-ai,europe-west1,sandbox,platform,security,24.076,9.8,0.7,178.07,81.762,1
gcp-cost-021-00052,2026-02-21,project-23,pubsub,us-east1,sandbox,security,security,59.921,8.198,0.51,17.181,60.457,0
gcp-cost-021-00053,2026-02-22,project-05,cloud-sql,us-east1,prod,backend,quality,61.313,12.374,0.455,109.966,82.294,1
