record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-089-00001,2026-01-01,project-16,cloud-run,us-central1,prod,platform,security,29.157,7.912,0.745,53.88,62.599,0
finops-budget-089-00002,2026-01-02,project-15,gke,us-central1,staging,security,security,64.157,9.277,0.543,176.882,88.902,1
finops-budget-089-00003,2026-01-03,project-16,vertex-ai,europe-west1,staging,finops,cost,36.453,7.456,0.807,137.006,78.381,1
finops-budget-089-00004,2026-01-04,project-02,cloud-run,global,prod,backend,reliability,57.922,16.858,0.725,111.395,100,1
finops-budget-089-00005,2026-01-05,project-06,cloud-run,us-central1,dev,data,quality,28.098,8.625,0.35,247.034,78.235,1
finops-budget-089-00006,2026-01-06,project-13,bigquery,us-east1,prod,finops,security,39.354,8.467,0.643,106.79,71.609,0
finops-budget-089-00007,2026-01-07,project-20,pubsub,us-central1,prod,backend,latency,58.01,4.827,0.844,137.94,81.223,1
finops-budget-089-00008,2026-01-08,project-08,cloud-run,us-east1,prod,backend,security,76.546,6.059,0.716,141.228,86.585,1
finops-budget-089-00009,2026-01-09,project-23,bigquery,asia-south1,prod,backend,latency,66.374,9.63,0.69,49.962,77.137,1
finops-budget-089-00010,2026-01-10,project-13,bigquery,asia-south1,prod,data,security,70.723,6.287,0.902,176.535,96.737,1
finops-budget-089-00011,2026-01-11,project-17,cloud-run,us-central1,prod,finops,reliability,78.99,12.701,0.456,129.422,92.116,1
finops-budget-089-00012,2026-01-12,project-11,pubsub,asia-south1,prod,backend,reliability,69.086,6.758,0.496,87.765,70.108,1
finops-budget-089-00013,2026-01-13,project-17,bigquery,global,dev,backend,cost,42.177,23.568,0.533,191.518,100,1
finops-budget-089-00014,2026-01-14,project-19,vertex-ai,us-central1,prod,mlops,reliability,77.478,12.244,0.518,45.493,80.451,1
finops-budget-089-00015,2026-01-15,project-04,compute,global,prod,backend,security,81.698,5.378,0.78,111.785,84.745,1
finops-budget-089-00016,2026-01-16,project-05,cloud-sql,global,staging,platform,latency,58.47,16.457,0.45,175.461,100,1
finops-budget-089-00017,2026-01-17,project-04,gke,us-east1,prod,data,security,81.055,11.368,0.555,100.357,88.955,1
finops-budget-089-00018,2026-01-18,project-22,compute,us-central1,sandbox,data,cost,52.886,4.243,0.243,73.882,47.69,0
finops-budget-089-00019,2026-01-19,project-10,bigquery,global,dev,security,reliability,34.487,5.084,0.805,63.726,61.401,0
finops-budget-089-00020,2026-01-20,project-03,bigquery,us-central1,prod,data,latency,112.166,7.735,0.571,86.554,89.914,1
finops-budget-089-00021,2026-01-21,project-19,cloud-sql,asia-south1,dev,backend,security,43.233,5.632,0.597,122.35,67.011,0
finops-budget-089-00022,2026-01-22,project-15,bigquery,us-east1,prod,data,security,61.747,8.096,0.884,155.811,94.165,1
finops-budget-089-00023,2026-01-23,project-23,bigquery,global,dev,security,security,3.126,9.263,0.905,116.406,71.359,1
finops-budget-089-00024,2026-01-24,project-17,cloud-sql,us-east1,prod,mlops,quality,76.63,12.749,0.708,90.779,94.587,1
finops-budget-089-00025,2026-01-25,project-12,compute,asia-south1,dev,mlops,quality,56.164,7.041,0.728,136.429,81.462,1
finops-budget-089-00026,2026-01-26,project-01,bigquery,us-east1,prod,mlops,latency,84.303,23.826,0.613,75.233,100,1
finops-budget-089-00027,2026-01-27,project-12,vertex-ai,asia-south1,dev,mlops,cost,61.188,7.83,0.826,159.167,91.808,1
finops-budget-089-00028,2026-01-28,project-07,cloud-sql,global,sandbox,mlops,latency,42.938,5.821,0.567,111.851,64.767,0
finops-budget-089-00029,2026-01-29,project-18,cloud-sql,us-central1,prod,security,cost,70.063,5.935,0.881,149.52,91.01,1
finops-budget-089-00030,2026-01-30,project-09,compute,us-east1,prod,finops,latency,55.296,7.129,0.641,39.732,64.217,1
finops-budget-089-00031,2026-01-31,project-07,compute,us-east1,prod,data,security,50.518,11.756,0.229,86.155,65.691,1
finops-budget-089-00032,2026-02-01,project-07,compute,us-east1,prod,finops,quality,53.071,5.356,0.739,101.153,71.689,1
finops-budget-089-00033,2026-02-02,project-12,vertex-ai,us-east1,prod,finops,cost,74.531,8.022,0.655,89.184,80.735,1
finops-budget-089-00034,2026-02-03,project-05,cloud-run,global,sandbox,backend,cost,7.79,8.112,0.287,77.338,42.978,0
finops-budget-089-00035,2026-02-04,project-04,bigquery,europe-west1,staging,security,quality,50.478,6.8,0.751,107.247,75.459,1
