record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-086-00001,2026-01-01,project-24,pubsub,global,prod,finops,quality,59.656,15.212,0.621,100.034,92.698,1
devops-ci-086-00002,2026-01-02,project-18,gke,global,prod,data,quality,67.999,20.938,0.985,156.445,100,1
devops-ci-086-00003,2026-01-03,project-17,cloud-run,us-central1,prod,data,cost,59.269,8.074,0.646,49.726,69.445,1
devops-ci-086-00004,2026-01-04,project-13,bigquery,us-east1,prod,backend,reliability,69.92,12.864,0.229,188.691,90.02,1
devops-ci-086-00005,2026-01-05,project-10,gke,us-central1,dev,backend,quality,37.824,13.911,0.697,213.216,100,1
devops-ci-086-00006,2026-01-06,project-23,bigquery,asia-south1,prod,mlops,latency,68.189,15.062,0.636,89.924,94.385,1
devops-ci-086-00007,2026-01-07,project-13,compute,europe-west1,prod,data,cost,62.842,8.406,0.953,32.48,79.7,1
devops-ci-086-00008,2026-01-08,project-08,cloud-sql,europe-west1,dev,mlops,quality,47.374,9.681,0.232,103.107,62.326,0
devops-ci-086-00009,2026-01-09,project-04,vertex-ai,europe-west1,prod,backend,security,47.545,13.806,0.49,189.648,93.662,1
devops-ci-086-00010,2026-01-10,project-13,pubsub,us-central1,prod,finops,security,43.153,18.016,0.911,119.856,100,1
devops-ci-086-00011,2026-01-11,project-08,pubsub,us-east1,prod,finops,cost,113.112,5.712,0.321,25.61,67.887,0
devops-ci-086-00012,2026-01-12,project-01,vertex-ai,us-east1,prod,mlops,reliability,49.372,13.05,0.945,104.143,95.993,1
devops-ci-086-00013,2026-01-13,project-18,gke,asia-south1,dev,data,security,21.459,5.61,0.669,116.84,61.055,1
devops-ci-086-00014,2026-01-14,project-11,compute,us-east1,dev,finops,reliability,44.873,10.88,0.448,58.331,65.279,1
devops-ci-086-00015,2026-01-15,project-08,vertex-ai,us-east1,staging,finops,cost,38.742,12.281,0.476,95.926,72.865,1
devops-ci-086-00016,2026-01-16,project-07,cloud-run,asia-south1,staging,mlops,security,33.965,8.209,0.673,133.676,74.091,1
devops-ci-086-00017,2026-01-17,project-11,vertex-ai,us-central1,prod,security,cost,56.743,11.196,0.432,179.128,87.227,1
devops-ci-086-00018,2026-01-18,project-09,vertex-ai,global,prod,backend,security,74.832,12.517,0.289,86.657,78.15,1
devops-ci-086-00019,2026-01-19,project-04,gke,us-east1,prod,mlops,latency,93.797,15.721,0.383,140.499,100,1
devops-ci-086-00020,2026-01-20,project-12,gke,global,sandbox,backend,latency,51.732,7.965,0.537,127.667,74.104,1
devops-ci-086-00021,2026-01-21,project-22,cloud-run,us-east1,staging,mlops,quality,6.176,18.484,0.609,174.907,92.113,1
devops-ci-086-00022,2026-01-22,project-21,cloud-sql,us-east1,prod,finops,reliability,53.352,9.441,0.756,168.232,91.696,1
devops-ci-086-00023,2026-01-23,project-08,vertex-ai,global,prod,platform,quality,38.052,15.718,0.319,28.619,65.332,1
devops-ci-086-00024,2026-01-24,project-03,gke,us-east1,sandbox,data,reliability,74.152,11.326,0.655,198.76,100,1
devops-ci-086-00025,2026-01-25,project-24,bigquery,us-central1,prod,backend,reliability,48.175,6.274,0.533,163.141,73.947,1
devops-ci-086-00026,2026-01-26,project-13,pubsub,us-central1,dev,backend,latency,46.123,14.967,0.601,116.014,89.02,1
devops-ci-086-00027,2026-01-27,project-23,cloud-sql,europe-west1,prod,finops,cost,31.611,4.559,0.482,253.112,75.484,1
devops-ci-086-00028,2026-01-28,project-08,vertex-ai,europe-west1,sandbox,platform,cost,26.579,7.453,0.481,182.073,70.08,1
devops-ci-086-00029,2026-01-29,project-03,cloud-sql,us-central1,sandbox,security,quality,56.217,2.646,0.673,148.955,71.128,1
devops-ci-086-00030,2026-01-30,project-16,vertex-ai,us-central1,sandbox,data,quality,34.94,14.668,0.438,214.382,93.048,1
devops-ci-086-00031,2026-01-31,project-02,gke,us-central1,dev,platform,latency,34.103,8.067,0.477,28.68,51.637,0
devops-ci-086-00032,2026-02-01,project-01,gke,europe-west1,dev,backend,latency,45.487,10.617,0.57,101.507,75.447,1
devops-ci-086-00033,2026-02-02,project-18,bigquery,europe-west1,prod,security,security,44.108,14.283,0.32,118.75,77.283,1
devops-ci-086-00034,2026-02-03,project-13,cloud-run,us-central1,staging,platform,cost,29.574,15.647,0.622,106.129,84.108,1
devops-ci-086-00035,2026-02-04,project-03,vertex-ai,europe-west1,dev,mlops,quality,10.397,10.028,0.68,98.216,65.161,1
devops-ci-086-00036,2026-02-05,project-07,gke,global,sandbox,backend,latency,31.052,9.191,0.376,105.616,60.876,0
devops-ci-086-00037,2026-02-06,project-20,vertex-ai,europe-west1,prod,data,reliability,45.799,5.904,0.892,138.973,81.293,1
devops-ci-086-00038,2026-02-07,project-02,bigquery,global,dev,mlops,quality,63.195,6.623,0.595,91.48,71.738,1
devops-ci-086-00039,2026-02-08,project-06,pubsub,global,prod,backend,reliability,47.859,3.729,0.56,34.774,50.123,0
devops-ci-086-00040,2026-02-09,project-21,gke,global,prod,platform,security,59.437,4.392,0.664,115.534,71.14,1
devops-ci-086-00041,2026-02-10,project-01,pubsub,us-east1,prod,platform,latency,80.649,19.817,0.749,99.483,100,1
devops-ci-086-00042,2026-02-11,project-09,bigquery,europe-west1,dev,backend,latency,75.198,5.75,0.622,103.244,76.562,1
devops-ci-086-00043,2026-02-12,project-14,pubsub,asia-south1,prod,security,quality,66.86,8.901,0.496,53.839,69.382,1
devops-ci-086-00044,2026-02-13,project-21,pubsub,europe-west1,prod,security,quality,78.714,10.647,0.741,151.732,100,1
devops-ci-086-00045,2026-02-14,project-24,cloud-sql,global,prod,security,cost,42.687,3.459,0.256,115.642,48.836,0
devops-ci-086-00046,2026-02-15,project-05,gke,global,prod,mlops,latency,57.981,7.264,0.51,191.216,82.978,1
devops-ci-086-00047,2026-02-16,project-18,cloud-run,global,sandbox,finops,reliability,38.631,14.315,0.871,114.98,94.175,1
devops-ci-086-00048,2026-02-17,project-10,bigquery,us-east1,staging,data,cost,65.18,10.056,0.765,166.405,97.319,1
devops-ci-086-00049,2026-02-18,project-23,pubsub,us-east1,prod,mlops,latency,63.585,14.581,0.253,74.685,76.024,1
devops-ci-086-00050,2026-02-19,project-16,cloud-sql,global,dev,data,cost,44.267,9.451,0.79,126.898,83.702,1
devops-ci-086-00051,2026-02-20,project-04,compute,global,dev,mlops,cost,46.942,7.466,0.755,84.481,72.596,1
devops-ci-086-00052,2026-02-21,project-15,vertex-ai,global,sandbox,data,cost,29.52,9.71,0.617,128.473,73.319,1
devops-ci-086-00053,2026-02-22,project-05,cloud-sql,global,dev,backend,reliability,41.138,6.263,0.566,176.617,74.579,1
devops-ci-086-00054,2026-02-23,project-02,gke,us-central1,prod,security,reliability,58.035,9.41,0.694,76.034,77.647,1
devops-ci-086-00055,2026-02-24,project-18,pubsub,us-central1,prod,security,quality,74.29,6.692,0.796,83.053,81.588,1
devops-ci-086-00056,2026-02-25,project-12,cloud-run,us-central1,prod,finops,quality,69.562,38.006,0.765,172.919,100,1
devops-ci-086-00057,2026-02-26,project-20,gke,us-east1,prod,platform,reliability,55.94,9.648,0.443,113.068,74.085,1
devops-ci-086-00058,2026-02-27,project-16,vertex-ai,europe-west1,prod,backend,latency,117.179,4.709,0.709,159.14,100,1
devops-ci-086-00059,2026-02-28,project-04,cloud-run,asia-south1,staging,data,security,43.624,7.18,0.421,73.985,57.546,1
devops-ci-086-00060,2026-03-01,project-04,bigquery,us-central1,prod,platform,reliability,67.126,7.894,0.631,141.848,84.685,1
devops-ci-086-00061,2026-03-02,project-14,gke,us-east1,prod,finops,quality,49.501,9.688,0.755,123.522,84.369,1
devops-ci-086-00062,2026-03-03,project-07,cloud-run,us-central1,prod,backend,reliability,69.944,13.428,0.539,116.863,91.72,1
devops-ci-086-00063,2026-03-04,project-11,cloud-run,global,staging,data,quality,21.203,9.672,0.59,171.804,75.694,1
devops-ci-086-00064,2026-03-05,project-06,vertex-ai,us-central1,prod,mlops,latency,86.983,8.954,0.723,186.075,100,1
devops-ci-086-00065,2026-03-06,project-15,cloud-sql,europe-west1,sandbox,mlops,cost,88.378,8.255,0.395,95.457,77.94,1
devops-ci-086-00066,2026-03-07,project-01,pubsub,europe-west1,prod,finops,quality,57.424,17.293,0.615,140.709,100,1
devops-ci-086-00067,2026-03-08,project-16,pubsub,europe-west1,dev,mlops,quality,29.927,8.976,0.741,119.019,74.71,1
devops-ci-086-00068,2026-03-09,project-03,cloud-run,asia-south1,prod,mlops,latency,67.051,5.437,0.697,192.946,88.687,1
devops-ci-086-00069,2026-03-10,project-14,vertex-ai,us-central1,prod,platform,quality,68.118,15.755,0.453,140.694,96.976,1
devops-ci-086-00070,2026-03-11,project-07,compute,us-east1,sandbox,security,security,55.166,6.22,0.645,135.695,76.185,1
devops-ci-086-00071,2026-03-12,project-07,cloud-run,us-east1,sandbox,data,quality,29.264,22.327,0.353,93.222,88.289,1
devops-ci-086-00072,2026-03-13,project-06,gke,asia-south1,sandbox,platform,quality,73.961,9.679,0.601,235.464,100,1
devops-ci-086-00073,2026-03-14,project-22,pubsub,europe-west1,prod,data,latency,61.195,7.426,0.603,188.028,87.271,1
devops-ci-086-00074,2026-03-15,project-12,bigquery,us-east1,prod,platform,cost,54.286,8.906,0.564,117.127,76.602,1
devops-ci-086-00075,2026-03-16,project-01,vertex-ai,us-central1,dev,mlops,cost,21.475,4.805,0.488,69.442,45.935,0
devops-ci-086-00076,2026-03-17,project-23,cloud-run,europe-west1,prod,security,security,56.527,13.558,0.59,119.517,89.499,1
devops-ci-086-00077,2026-03-18,project-12,bigquery,us-east1,staging,mlops,latency,45.333,11.789,0.483,113.504,76.832,0
devops-ci-086-00078,2026-03-19,project-18,pubsub,global,staging,finops,cost,42.974,5.205,0.736,230.552,86.568,1
devops-ci-086-00079,2026-03-20,project-18,gke,asia-south1,staging,platform,latency,40.691,5.578,0.51,61.903,54.135,0
devops-ci-086-00080,2026-03-21,project-22,gke,europe-west1,prod,data,reliability,90.014,6.895,0.524,168.297,90.477,1
devops-ci-086-00081,2026-03-22,project-02,cloud-sql,us-east1,dev,mlops,latency,33.119,5.624,0.331,150.942,58.312,0
devops-ci-086-00082,2026-03-23,project-17,compute,us-east1,prod,backend,security,42.252,5.609,0.948,198.351,89.982,1
